#파일	묶음	번호	KO  (PoC 1 — 스크린샷 6장 화면 문구)
LANG0	10	1	게임을 처음부터 시작
LANG0	10	2	게임을 이어서 시작
LANG0	10	3	엇갈림 통신
LANG0	10	4	언어
LANG0	10	10	한국어
LANG0	11	0	1월
LANG0	11	1	2월
LANG0	11	2	3월
LANG0	11	3	4월
LANG0	11	4	5월
LANG0	11	5	6월
LANG0	11	6	7월
LANG0	11	7	8월
LANG0	11	8	9월
LANG0	11	9	10월
LANG0	11	10	11월
LANG0	11	11	12월
LANG0	0	251	일
LANG0	0	73	마이 파크
LANG0	0	95	총자금
LANG0	0	162	정원(최대)
LANG0	0	163	흥분도
LANG0	0	164	내구성
LANG0	0	222	최대 정원
LANG0	0	223	흥분도
LANG0	0	224	내구성
LANG0	4	92	무료
LANG0	4	103	쉬움
LANG0	4	104	보통
LANG0	4	105	어려움
LANG0	4	106	매우 어려움
LANG0	13	27	클리어 자금
LANG0	13	28	클리어 총자산
LANG0	14	0	없음
LANG0	14	1	프랑스
LANG0	14	2	미국
LANG0	14	3	인도
LANG0	14	4	독일
LANG0	14	5	지역 인구
LANG0	14	6	지방 인구
LANG0	14	7	광역 인구
LANG0	14	8	인플레이션율
LANG0	14	9	금리
LANG0	14	10	경제
LANG0	14	11	면세 기간(년)
LANG0	14	12	부동산세
LANG0	14	13	기후
LANG0	14	14	지형
LANG0	14	15	스페셜
LANG0	14	16	라이벌
LANG0	14	17	토지 가격
LANG0	14	18	선진국
LANG0	14	19	부국
LANG0	14	20	중진국
LANG0	14	21	개발도상국
LANG0	14	22	빈국
LANG0	14	23	쾌청
LANG0	14	24	다설
LANG0	14	25	다우
LANG0	14	26	맑음
LANG0	14	27	강풍
LANG0	14	28	초원
LANG0	14	29	암산
LANG0	14	30	삼림
LANG0	14	31	하천
LANG0	14	32	호수
LANG0	14	33	특별한 것 없음
LANG0	14	34	버거 애호가
LANG0	14	35	플레이어 이름
LANG0	14	36	자금
LANG0	14	37	개성
LANG0	14	38	적대 관계
LANG0	14	39	평판
LANG0	14	40	어트랙션 수
LANG0	14	41	상점 수
LANG0	14	42	직원 수
LANG0	14	43	입장객 수
LANG0	14	44	없음
LANG0	14	45	이탈리아
LANG0	14	46	스페인
