#파일	묶음	번호	KO
LANG0	0	0	길 구입
LANG0	0	1	어트랙션
LANG0	0	2	보도
LANG0	0	3	상점
LANG0	0	4	직원
LANG0	0	5	제작
LANG0	0	6	대기줄
LANG0	0	7	나의 작은 은행
LANG0	0	8	예금 잔액
LANG0	0	9	파크 가치
LANG0	0	10	보유주
LANG0	0	11	차입금
LANG0	0	12	상환액
LANG0	0	13	환영
LANG0	0	14	테마파크 이름
LANG0	0	15	당신의 이름
LANG0	0	16	파크 테마
LANG0	0	17	비용
LANG0	0	18	커피컵  
LANG0	0	19	빅 휠 
LANG0	0	20	바운시캐슬 
LANG0	0	21	워터슬라이더 
LANG0	0	22	우드코스터 
LANG0	0	23	롤러코스터 
LANG0	0	24	스네이크 슬라이드 
LANG0	0	25	다이브 봄버 
LANG0	0	26	플래닛 봄버 
LANG0	0	27	전망대 
LANG0	0	28	남은 시간
LANG0	0	29	버추얼 플라이트 
LANG0	0	30	트리하우스 
LANG0	0	31	솔티 독 
LANG0	0	32	동키 콜라 
LANG0	0	33	월리 아이스 
LANG0	0	34	빅 프라이 포테이토 
LANG0	0	35	빅 버거 
LANG0	0	36	열대수 
LANG0	0	37	야자나무 
LANG0	0	38	가로등 
LANG0	0	39	사과나무 
LANG0	0	40	오렌지나무 
LANG0	0	41	장미나무 
LANG0	0	42	연못 
LANG0	0	43	목책 
LANG0	0	44	생울타리 
LANG0	0	45	성벽 
LANG0	0	46	흰 목책 
LANG0	0	47	보도 
LANG0	0	48	노란 보도 
LANG0	0	49	일방통행 
LANG0	0	50	안내 표지판 
LANG0	0	51	체인 레일 
LANG0	0	52	샤크맨 
LANG0	0	53	테디 군 
LANG0	0	54	화성인 
LANG0	0	55	공룡 군 
LANG0	0	56	정비공 
LANG0	0	57	청소부 
LANG0	0	58	음료 
LANG0	0	59	과자 
LANG0	0	60	요리 
LANG0	0	61	장난감 
LANG0	0	62	기념품 
LANG0	0	63	선물 
LANG0	0	64	패스트푸드 
LANG0	0	65	워터슬라이더 
LANG0	0	66	롤러코스터
LANG0	0	67	우드코스터
LANG0	0	68	즐거워
LANG0	0	69	지루해
LANG0	0	70	집에 갈래
LANG0	0	71	길 잃음
LANG0	0	72	합계
LANG0	0	74	금발 남성  
LANG0	0	75	초록 옷 여성  
LANG0	0	76	남자아이  
LANG0	0	77	빨간 옷 여자아이  
LANG0	0	78	멋쟁이 남성  
LANG0	0	79	아줌마  
LANG0	0	80	청바지 소년  
LANG0	0	81	긴 머리 소녀  
LANG0	0	82	해적선 
LANG0	0	83	조이 플레인 
LANG0	0	84	미로 
LANG0	0	85	고스트하우스 
LANG0	0	86	분수 
LANG0	0	93	인건비 총액
LANG0	0	94	입장료 수익
LANG0	0	96	지난달 손익
LANG0	0	97	입장료
LANG0	0	98	상점 수익
LANG0	0	99	설치 비용
LANG0	0	100	개점 비용
LANG0	0	101	이용객
LANG0	0	102	매입 가격
LANG0	0	103	판매 가격
LANG0	0	104	판매 품목
LANG0	0	105	영업 일수
LANG0	0	106	체류 시간
LANG0	0	107	가진 돈
LANG0	0	108	탄 어트랙션 수
LANG0	0	109	탄 어트랙션 종류
LANG0	0	110	집에 간다
LANG0	0	111	근속 개월
LANG0	0	113	아무것도 안 함
LANG0	0	114	손님과의 만남
LANG0	0	116	행복도
LANG0	0	117	월급
LANG0	0	118	쓰레기 줍는 중
LANG0	0	119	나무에 물 주는 중
LANG0	0	120	풀 베는 중
LANG0	0	121	어트랙션 수리 중
LANG0	0	122	어트랙션 수리 수
LANG0	0	123	즐기는 중
LANG0	0	124	우수
LANG0	0	125	그럭저럭
LANG0	0	126	별로
LANG0	0	127	해고
LANG0	0	128	그럭저럭
LANG0	0	129	빨리 안 먹으면 죽을 것 같아
LANG0	0	130	배가 몹시 고프다
LANG0	0	131	배가 좀 고프다
LANG0	0	132	먹을 건 괜찮아
LANG0	0	133	배는 안 고프다
LANG0	0	134	배가 전혀 안 고프다
LANG0	0	135	지금은 먹기 싫어
LANG0	0	136	햄버거 또 보면 울어 버릴 거야.
LANG0	0	137	목말라 죽겠다
LANG0	0	138	마실 거 안 주면 갈 거야
LANG0	0	139	마실 게 있으면 좋겠다
LANG0	0	140	목이 좀 마르다
LANG0	0	141	마실 건 괜찮아
LANG0	0	142	목은 안 마르다
LANG0	0	143	마실 건 필요 없어
LANG0	0	144	더는 못 마시겠다
LANG0	0	145	과음했다
LANG0	0	147	비어하우스 
LANG0	0	149	상품량
LANG0	0	150	고카트 
LANG0	0	151	혼티드 하우스 
LANG0	0	153	어트랙션 이름 바꾸기
LANG0	0	154	시작
LANG0	0	155	떡갈나무 
LANG0	0	156	버드나무 
LANG0	0	157	자작나무 
LANG0	0	158	스페이스 셔틀 
LANG0	0	159	루프 
LANG0	0	160	코르크스크루 
LANG0	0	161	어트랙션 설치 비용
LANG0	0	165	이용자 총수
LANG0	0	166	직원 목록
LANG0	0	167	찾기
LANG0	0	168	정보
LANG0	0	169	아래
LANG0	0	170	어트랙션 목록
LANG0	0	171	상점 목록
LANG0	0	172	직원
LANG0	0	173	농땡이 중
LANG0	0	174	능률
LANG0	0	175	인건비
LANG0	0	176	고용한 직원이 없습니다
LANG0	0	177	어트랙션이 하나도 없습니다
LANG0	0	178	상점을 하나도 열지 않았습니다
LANG0	0	179	어트랙션명
LANG0	0	180	인원
LANG0	0	181	인기
LANG0	0	182	수리
LANG0	0	183	상점명
LANG0	0	184	푸드
LANG0	0	185	타입
LANG0	0	186	매출
LANG0	0	187	이익
LANG0	0	188	재고량
