#파일	묶음	번호	KO
credits	0	2	게임 디자인
credits	0	6	엔지니어
credits	0	11	그래픽 및 콘셉트 아트
credits	0	21	오프닝 무비
credits	0	24	사운드 및 음악
credits	0	27	기능 테스트
credits	0	42	현지화 프로젝트 매니저
credits	0	45	현지화 테스트
credits	0	51	유럽 현지화
credits	0	69	개발 디렉터
credits	0	72	어시스턴트 프로듀서
credits	0	75	총괄 프로듀서
credits	0	78	프로덕트 매니저
credits	0	83	테마파크
credits	0	84	오리지널 DOS판
credits	0	86	제작 및 리드 프로그래머
credits	0	90	프로그래머
credits	0	95	그래픽 및 아트 콘셉트
credits	0	101	사운드 및 음악
credits	0	104	테스트 및 QA
credits	0	111	프로듀서
credits	0	114	어시스턴트 프로듀서
credits	0	117	총괄 프로듀서
credits	0	120	프로덕트 매니저
credits	0	123	품질 보증
