#묶음	번호	식별자	EN	JP	KO
0	0	MA_LEGAL_PATH	<1>The Path Placement icon is ON. Use the stylus to place paths!	<1>歩道設置アイコンがＯＮになっています。\nタッチペンで歩道が書ける状態です。	
0	1	MA_LEGAL_RAIL	<1>The Queue Placement icon is ON. Use the stylus to place queues!	<1>整列歩道設置アイコンがＯＮになっています。\nタッチペンで整列歩道が書ける状態です。	
0	2	MA_LEGAL_MONO	<1>The Monorail Placement icon is ON. Use the stylus to place monorail tracks!	<1>モノレールアイコンがＯＮになっています。\nタッチペンで\nモノレールコースが書ける状態です。	
0	3	MA_LOOP_LEGAL	<1>The Roller Coaster Placement icon is ON. Use the stylus to place roller coaster courses!	<1>ジェットコースターアイコンが\nＯＮになっています。\nタッチペンでコースが書ける状態です。	
0	4	MA_COASTER_HELP	<1>Adjust the height of tracks by first tapping their bases, then the up or down arrows in the bottom corner of the screen. 	<1>レール設置時、根元をタッチした後に\n画面右下のアイコンで、\nレールの高さを自由に変更できます。	
0	5	MA_LEGAL_ROLER	<1>The Roller Coaster Track icon is ON. Use the stylus to place tracks.<P>The height of tracks can be adjusted by tapping their bases, then the up or down arrows in the bottom corner of the screen. 	<1>レールアイコンがＯＮになっています。\nタッチペンでレールが書ける状態です。<P>レール設置時、根元をタッチした後に\n画面右下のアイコンで、\nレールの高さを自由に変更できます。	
0	6	MA_TRACK_LEGAL	<1>The Go-Kart Placement icon is ON. The course can be placed at a cost of %s.	<1>ゴーカートアイコンがＯＮになっています。\n%sのコストで\nタッチペンでコースが書けます。	
0	7	MA_LEGAL_RIVER	<1>The Water Slide Placement icon is ON. The course can be placed at a cost of %s.	<1>ウォータースライダーアイコンが\nＯＮになっています。%sのコストで\nタッチペンでコースが書けます。	
0	8	MA_PLACE_ONEWAY	<1>Now you need to place a one-way traffic sign. Once you've decided on a location, tap the screen to place your sign.<P>Each time you tap it, the direction will change.	<1>一方通行を案内する標識を設置します。\n設置場所を指定後、\nタッチペンでタッチしてください。	
0	9	MA_PLACE_ONWAY_DIR	<1>Next, set the direction your sign will point to by tapping it. Each time you tap it, the direction will change.	<1>次に進行方向を指定します。\n設置場所を再度、タッチしてください。\n方向が変更されます。	
0	10	MA_PLACE_ONEWAY_CONFIRM	<1>When the sign is pointing in the right direction, tap the OK icon.	<1>方向に問題なければ、\nＯＫアイコンをタッチしてください。	
0	11	MA_PLACE_SIGN_POST	<1>It's time to place Sign Posts for the rides. First, use the stylus to select a ride.	<1>案内標識を設置します。最初に案内したい\nアトラクション、ショップ、又は正面ゲートを\nタッチしてください。	
