#묶음	번호	식별자	EN	JP	KO
0	0	MA_LEGAL_PATH	<1>As you can see, the Path Placement icon is ON. You can use your stylus to place paths!	<1>歩道設置アイコンがＯＮになっています。\nタッチペンで歩道が書けますよ！	
0	1	MA_LEGAL_RAIL	<1>Look! The Queue Placement icon is ON. You can use your stylus to place queues!	<1>整列歩道設置アイコンがＯＮになっています。\nタッチペンで整列歩道が書けますよ！	
0	2	MA_LEGAL_MONO	<1>Hey! The Monorail Placement icon is ON. Use your stylus to place monorail tracks!	<1>モノレールアイコンがＯＮになっています。\nタッチペンでモノレールコースが書けますよ！	
0	3	MA_LOOP_LEGAL	<1>The Roller Coaster Placement icon is ON. You can use your stylus to place roller coaster courses!	<1>ジェットコースターアイコンが\nＯＮになっています。\nタッチペンでコースが書けますよ！	
0	4	MA_COASTER_HELP	<1>You gotta adjust the height of tracks by tapping their bases, and then tap the icon on the lower right part of the screen.	<1>レール設置時、根元をタッチした後、\n画面右下のアイコンで\nレールの高さを自由に変更できます！	
0	5	MA_LEGAL_ROLER	<1>Oh look, the Roller Coaster Track icon is ON. Use your stylus to place tracks!<P>Adjust the height of the tracks by tapping their bases and then tap the up and down arrows at the lower right part of the screen!	<1>レールアイコンがＯＮになっています。\nレールが書けますよ！<P>レール設置時、根元をタッチした後、\n画面右下のアイコンで\nレールの高さを自由に変更できます！	
0	6	MA_TRACK_LEGAL	<1>Hey, the Go-Kart Placement icon is ON. You can use your stylus to place go-kart courses at a price of %s! 	<1>ゴーカートアイコンがＯＮになっています。\n%sのコストで\nタッチペンでコースが書けますよ！	
0	7	MA_LEGAL_RIVER	<1>Oh look, the Water Slide Placement icon is ON. Use your stylus to place water slides at a price of %s!	<1>ウォータースライダーアイコンが\nＯＮになっています。%sのコストで\nタッチペンでコースが書けますよ！	
0	8	MA_PLACE_ONEWAY	<1>Place a one-way traffic sign on a path. Once you've decided on a location on a path, tap it to place your sign!	<1>一方通行を案内する標識を設置します。\n設置場所を指定して\nタッチペンでタッチしましょう。	
0	9	MA_PLACE_ONWAY_DIR	<1>Next, set the direction your sign will point to by tapping it. Each time you tap it, the direction will change.	<1>次に進行方向を指定します。\n設置場所をもう一度タッチしてください。\n方向が変わります。	
0	10	MA_PLACE_ONEWAY_CONFIRM	<1>When the sign is pointing in the right direction, tap the OK icon.	<1>方向がこれでバッチリならば、\nＯＫアイコンをタッチしましょう！	
0	11	MA_PLACE_SIGN_POST	<1>It's time to place Sign Posts for the rides. First, use the stylus to select a ride.	<1>案内標識を設置します。最初に案内したい\nアトラクション、ショップ、又は正面ゲートを\nタッチしましょう。	
0	12	MA_PLACE_SIGN_DIR	<1>Now, tap a location on a path where you want to place a Sign Post.	<1>次に案内標識を設置します。\n標識の設置場所をタッチしましょう。<P>設置した案内標識は、\n同じ所をタッチすると\n向きを変更する事ができますからね！	
0	13	MA_PLACE_SIGN_CONFIRM	<1>Tap the sign again to change the direction it is pointing. Usually the sign should point toward the ride or shop you selected!<P>Sign Posts also can show the way to the Gate, which helps Guests exit the park when they want to go home.<P>When you have decided which direction the Sign Post should face, tap the OK icon to finish.	<1>最後に案内標識の向きを指定します。\n方向がこれでバッチリなら、\nＯＫアイコンをタッチしましょう！	
0	14	MA_PLACE_RIDE	<1>To place this attraction, you just need to select a location, then tap the OK icon to finish!	<1>アトラクションを設置します。\n場所を指定して、\nＯＫアイコンをタッチしましょう。	
0	15	MA_PLACE_RIDE_ENTRANCE	<1>Next, you gotta decide where the entrance should be. Select a location on one side of the attraction, then tap the OK icon.	<1>それじゃアトラクションの入口を設置しますか。\n場所を指定して、\nＯＫアイコンをタッチしましょう。	
0	16	MA_PLACE_RIDE_EXIT	<1>Finally, finish by setting up the exit. Remember, folks will leave from here! Select a location, then tap the OK icon to finish!	<1>あとは出口の設置ですね。\n場所を指定して\nＯＫアイコンをタッチしましょう！	
0	17	MA_PLACE_SHOP	<1>To place this shop, you first have to select a location, then tap the OK icon to finish!	<1>ショップを設置します。\n場所を指定して\nＯＫアイコンをタッチしましょう！	
0	18	MA_PLACE_SCENERY	<1>To place a piece of scenery, just select a suitable location, and it will appear in place.	<1>設備を設置します。\n設置したい場所を\nタッチペンでタッチしましょう！	
0	19	MA_PLACE_STAFF	<1>To place this employee, you first have to select a location and then tap the OK icon to finish!	<1>スタッフを配置します。\n配置したい場所を\nタッチペンでタッチしましょう！	
0	20	MA_DELETE_PAID_RIDE	This ride cost %s.\nDo you really want to demolish it?	このアトラクションには\n%sの費用がかかってますよ。\n…本当に撤去します？	
0	21	MA_DELETE_UNPAID_RIDE	Are you sure you want to delete this?\nSince it has not been in your park for at least a month, it won't cost you anything.	設置して１ヶ月以内なので、\nコレの撤去には費用、かかりませんよ！	
0	22	MA_DELETE_PAID_SHOP	This shop cost %s.\nDo you really want to demolish it?	このショップには\n%sの費用がかかってますよ。\n…本当に撤去します？	
0	23	MA_DELETE_UNPAID_SHOP	Are you sure you want to delete this?\nSince it has not been in your park for at least a month, it won't cost you anything.	設置して１ヶ月以内なので、\nコレの撤去には費用、かかりませんよ！	
0	24	MA_CONFIRM_FIRE	Do you really want to fire this employee?	本当に、このスタッフを解雇しますか？	
0	25	MA_MANAGEMENT_DESCRIPTION	Adjust management settings on this screen.<P>To confirm selections, check or circle the icons with the stylus.	この画面では、経営に関する設定を行います。<P>選択の決定は、\nタッチペンでアイコンをチェック\nあるいは○で囲んでください。	
0	26	MA_STOCK_SCREEN	Order raw materials necessary for shops and manage inventory.	ショップで必要な\n原材料の発注、在庫管理を行います。	
0	27	MA_GRAPH_DESCRIPTION	Use graphs to get an understanding of theme park finances.	テーマパークの経済推移状況を、\nグラフで把握できます。	
0	28	MA_VISITOR_DESCRIOTION	View the results of questionnaires given to park visitors.	来場したお客様の感想をアンケート集計した、\n統計結果を参照できます。	
0	29	MA_LITS_DESCRIPTION	Use this database to view charts on park attractions, facilities and staff.	テーマパーク内の施設、設置物、スタッフを、\n表形式で一覧できるデータベースです。	
0	30	MA_BANK_DETAILS	Access the bank. Apply for loans and make loan payments.	銀行を利用します。\n借入れ金の申し出と、返済を行います。	
0	31	MA_RESEARCH_DESCRIPTION	Develop new facilities, remodel existing facilities and train staff members.	新しい設備の開発、\n既存の設備の改良、\nスタッフの研修を行います。	
0	32	MA_STORAGE_SCREEN	Buy and sell stocks.	株の売買を行います。	
0	33	MA_ADMISSION_PRICE	Raise or lower park admission prices.	入場料の値上げ、値下げを行います。	
0	34	MA_EXPAND_WAREHOUSE	Research and development results announced! You can now store %d of each type of merchandise!	研究開発の成果が報告されました！\n１商品あたり\n%dの在庫保管が可能となります！	
0	35	MA_STOCK_AVAIL_MSG	You can store %d of each type of merchandise.	現在１商品あたり、\n%dの在庫保管が可能です。	
0	36	MA_STOCK_COUNT_MSG	This is %s.	%sの在庫です。	
0	37	MA_STOCK_ORDER_MSG	Set the amount to be ordered, then tap the OK icon.	発注数が決まりましたら、\nＯＫアイコンをタッチしてください。	
0	38	MA_STOCK_ORDERED_MSG	<1>You've ordered %s! Delivery is scheduled in %s. Don't forget!	<1>%sを発注しましたよ！\n納品予定は%sですね、忘れずに！	
0	39	MA_BANK_HELP	After adjusting the amount, tap the LOAN TAKEN OUT button to borrow, and the LOAN REPAID button to pay back loans.	金額を入力後、借入れは”借入れ”アイコンを、\n返済は”借入れ返済”アイコンを\nタッチしてください。	
0	40	MA_BANK_PAY_MSG	Tap this button if you want to make a loan payment.	借入れ金の返済を行いたい場合、\nこちらのボタンをタッチしてください。	
0	41	MA_BANK_LOAN_MSG	Tap this button if you want to apply for a loan.	借入れを行いたい場合、\nこちらのボタンをタッチしてください。	
