#묶음	번호	식별자	EN	JP	KO
0	0	CELL11	Theme Park™ DS	Theme Park™ DS	
0	1	CELL21			
0	2	CELL31	Game Design	Game Design	
0	3	CELL41	   Toshiyuki Nagahara	   Toshiyuki Nagahara	
0	4	CELL51	   Takeo Enomoto 	   Takeo Enomoto 	
0	5	CELL61			
0	6	CELL71	Engineer	Engineer	
0	7	CELL81	   Sylvain Martel	   Sylvain Martel	
0	8	CELL91	   Hiromu Ozaki	   Hiromu Ozaki	
0	9	CELL101	   Naoki Matsunaga	   Naoki Matsunaga	
0	10	CELL111			
0	11	CELL121	Graphics and Concept Art	Graphics and Concept Art	
0	12	CELL131	   Hiromitsu Sasaki	   Hiromitsu Sasaki	
0	13	CELL141	   Hideyasu Ishihara	   Hideyasu Ishihara	
0	14	CELL151	   Hideyuki Takehana	   Hideyuki Takehana	
0	15	CELL161	   Daisuke Matsumoto	   Daisuke Matsumoto	
0	16	CELL171	   Naotake Okunishi	   Naotake Okunishi	
0	17	CELL181	   Ryo Hirata	   Ryo Hirata	
0	18	CELL191			
0	19	CELL201	   Orbital Link	   Orbital Link	
0	20	CELL211			
0	21	CELL221	Opening Movie	Opening Movie	
0	22	CELL231	   Nobuaki Ebihara	   Nobuaki Ebihara	
0	23	CELL241			
0	24	CELL251	Sound and Music	Sound and Music	
0	25	CELL261	   Yasushi Matsuki	   Yasushi Matsuki	
0	26	CELL271			
0	27	CELL281	Functionality Testing	Functionality Testing	
0	28	CELL291	Ng Chin Ang	   Chin Ang Ng	
0	29	CELL301	Roland Kie	Roland Kie	
0	30	CELL311	Jason Michael Lim	Jason Michael Lim	
0	31	CELL321	Mark Wong	Mark Wong	
0	32	CELL331	Jasmin Poon	Jasmin Poon	
0	33	CELL341	Gilbert Chee	Gilbert Chee	
0	34	CELL351	Peggie Aw	Peggie Aw	
0	35	CELL361	Nopp Wee	Nopp Wee	
0	36	CELL371	Luqman Bin Rezuan	Luqman Bin Rezuan	
0	37	CELL381	Dickson Teo	Dickson Teo	
0	38	CELL391	Seow Han Yi	Seow Han Yi	
0	39	CELL401	Gabriel Kang	Gabriel Kang	
0	40	CELL411	   Digital Hearts	   Digital Hearts	
0	41	CELL421			
0	42	CELL431	Localization Project Manager	Localization Project Manager	
0	43	CELL441	Diane Ng	Diane Ng	
0	44	CELL451			
0	45	CELL461	Localization Testing	Localization Testing	
0	46	CELL471	Subash	Subash	
0	47	CELL481	Tricia Tan	Tricia Tan	
0	48	CELL491	Andy Basuki	Andy Basuki	
0	49	CELL501	Chin Jianwei	Chin Jianwei	
0	50	CELL511	   	   	
0	51	CELL521	European Localisation	European Localisation	
0	52	CELL531	David Monteiro	David Monteiro	
0	53	CELL541	Fabio Maccari	Fabio Maccari	
0	54	CELL551	Charles Ulbig	Charles Ulbig	
0	55	CELL561	Frank Romer	Frank Romer	
0	56	CELL571	Matthieu Paissé	Matthieu Païssé	
0	57	CELL581			
0	58	CELL591	Nigel Collinson	Nigel Collinson	
0	59	CELL601	Enrico Balducci	Enrico Balducci	
0	60	CELL611	Bertrand Mangin	Bertrand Mangin	
0	61	CELL621	Daniel Langer 	Daniel Langer 	
0	62	CELL631	Kay Dresen 	Kay Dresen 	
0	63	CELL641	Javier Alonso	Javier Alonso	
0	64	CELL651	Nathalie Bonin 	Nathalie Bonin 	
0	65	CELL661	Nadine Monschau	Nadine Monschau	
0	66	CELL671	Stefano Mozzi	Stefano Mozzi	
0	67	CELL681	Pako Barreras	Pako Barreras	
0	68	CELL691			
0	69	CELL701	Development Director	Development Director	
0	70	CELL711	   Masaaki Kawamura	   Masaaki Kawamura	
0	71	CELL721			
0	72	CELL731	Assistant Producer	Assistant Producer	
0	73	CELL741	   Takeshi Miyazoe	   Takeshi Miyazoe	
0	74	CELL751			
0	75	CELL761	Executive Producer	Executive Producer	
0	76	CELL771	   Stan Chow	   Stan Chow	
0	77	CELL781			
0	78	CELL791	Product Manager	Product Manager	
0	79	CELL801	   Sergio Salvador	   Sergio Salvador	
0	80	CELL811	   Akihiro Takahashi	   Akihiro Takahashi	
0	81	CELL821	   Mieko Nakajima	   Mieko Nakajima	
0	82	CELL831			
0	83	CELL841	Theme Park	Theme Park	
0	84	CELL851	Original DOS Version	Original DOS Version	
0	85	CELL861			
0	86	CELL871	Creators and Lead Programmers	Creators and Lead Programmers	
0	87	CELL881	   PETER MOLYNEUX	   PETER MOLYNEUX	
0	88	CELL891	   DEMIS HASSABIS	   DEMIS HASSABIS	
0	89	CELL901			
0	90	CELL911	Programmers	Programmers	
0	91	CELL921	   MARK WEBLEY	   MARK WEBLEY	
0	92	CELL931	   MARK LAMPORT	   MARK LAMPORT	
0	93	CELL941	   JAMES ROBERTSON	   JAMES ROBERTSON	
0	94	CELL951			
0	95	CELL961	Graphics and Art Concepts	Graphics and Art Concepts	
0	96	CELL971	   PAUL MCLAUGHLIN	   PAUL MCLAUGHLIN	
0	97	CELL981	   CHRIS HILL	   CHRIS HILL	
0	98	CELL991	   FIN MCGECHIE	   FIN MCGECHIE	
0	99	CELL1001	   MIKE MAN	   MIKE MAN	
0	100	CELL1011			
0	101	CELL1021	Sound and Music	Sound and Music	
0	102	CELL1031	   RUSSELL SHAW	   RUSSELL SHAW	
0	103	CELL1041			
0	104	CELL1051	Testing and QA	Testing and QA	
0	105	CELL1061	   ALEX TROWERS	   ALEX TROWERS	
0	106	CELL1071	   ANDY CAKEBREAD	   ANDY CAKEBREAD	
0	107	CELL1081	   ALFIE NOAKES	   ALFIE NOAKES	
0	108	CELL1091			
0	109	CELL1101	FOR ELECTRONIC ARTS	FOR ELECTRONIC ARTS	
0	110	CELL1111			
0	111	CELL1121	Producer	Producer	
0	112	CELL1131	   MATT WEBSTER	   MATT WEBSTER	
0	113	CELL1141			
0	114	CELL1151	Assistant Producer	Assistant Producer	
0	115	CELL1161	   NICK GOLDSWORTHY	   NICK GOLDSWORTHY	
0	116	CELL1171			
0	117	CELL1181	Executive Producer	Executive Producer	
0	118	CELL1191	   JOSS ELLIS	   JOSS ELLIS	
0	119	CELL1201			
0	120	CELL1211	Product Manager	Product Manager	
0	121	CELL1221	   SEAN RATCLIFFE	   SEAN RATCLIFFE	
0	122	CELL1231			
0	123	CELL1241	Quality Assurance	Quality Assurance	
0	124	CELL1251	   DARREN KING	   DARREN KING	
0	125	CELL1261	   MATT PRICE	   MATT PRICE	
0	126	CELL1271	   MARK BERGAN	   MARK BERGAN	
0	127	CELL1281	   MIKE COOPER	   MIKE COOPER	
0	128	CELL1291	   LAWRENCE DOYLE	   LAWRENCE DOYLE	
0	129	CELL1301	   GRAHAM HARBOUR	   GRAHAM HARBOUR	
0	130	CELL1311	   DIARMID CLARKE	   DIARMID CLARKE	
0	131	CELL1321	   BRYAN BECKSTRAND	   BRYAN BECKSTRAND	
0	132	CELL1331	   STEVE IMES	   STEVE IMES	
0	133	CELL1341	   BRIAN REED	   BRIAN REED	
0	134	CELL1351	   DAVID COSTA	   DAVID COSTA	
0	135	CELL1361			
0	136	CELL1371			
